"missingness_mechanisms","sample_size_before","sample_size_after","open_backdoor_paths","fully_adjusted_blocked","fully_adjusted_blocked_percentage","unadjusted_blocked","unadjusted_blocked_percentage","two_step_lasso_blocked","two_step_lasso_blocked_percentage","two_step_lasso_X_blocked","two_step_lasso_X_blocked_percentage","two_step_lasso_union_blocked","two_step_lasso_union_blocked_percentage"
"FULL",100000,100000,32,28,0.875,0,0,28,0.875,28,0.875,28,0.875
"MNAR",25365,100000,32,28,0.875,0,0,29,0.90625,28,0.875,29,0.90625
"MCAR",25585,100000,32,28,0.875,0,0,28,0.875,29,0.90625,29,0.90625
