"missingness_mechanisms","sample_size_before","sample_size_after","two_step_lasso_X_bias","two_step_lasso_X_bias_percentage","two_step_lasso_X_coverage","two_step_lasso_union_bias","two_step_lasso_union_bias_percentage","two_step_lasso_union_coverage"
"FULL",100000,100000,0.0872693,0.174539,0,0.0872693,0.174539,0
"MNAR",25657,100000,0.0924979,0.184996,0,0.0924979,0.184996,0
"MCAR",79665,100000,0.0907844,0.181569,0,0.0907844,0.181569,0
