"missingness_mechanisms","two_step_lasso_X_bias","two_step_lasso_X_bias_percentage","two_step_lasso_X_coverage","two_step_lasso_union_bias","two_step_lasso_union_bias_percentage","two_step_lasso_union_coverage"
"FULL",0.0799802016330654,0.159960403266131,0,0.0799802016330654,0.159960403266131,0
"MNAR",0.0817259818276774,0.163451963655355,0,0.0817259818276774,0.163451963655355,0
"MCAR",0.0820402279320068,0.164080455864014,0,0.0820402279320068,0.164080455864014,0
