"missingness_mechanisms","fully_adjusted_bias","fully_adjusted_bias_percentage","fully_adjusted_coverage","unadjusted_bias","unadjusted_bias_percentage","unadjusted_coverage","two_step_lasso_bias","two_step_lasso_bias_percentage","two_step_lasso_coverage"
"FULL",0.0902996550941713,0.180599310188343,0,1.16530553333167,2.33061106666334,0,0.0902996550941713,0.180599310188343,0
"MNAR",0.0906434163324559,0.181286832664912,0,1.16530553333167,2.33061106666334,0,0.0906434163324559,0.181286832664912,0
"MCAR",0.0904483358433751,0.18089667168675,0,1.16530553333167,2.33061106666334,0,0.0904483358433751,0.18089667168675,0
