"missingness_mechanisms","sample_size_before","sample_size_after","two_step_lasso_X_bias","two_step_lasso_X_bias_percentage","two_step_lasso_X_coverage","two_step_lasso_union_bias","two_step_lasso_union_bias_percentage","two_step_lasso_union_coverage"
"FULL",100000,100000,0.0902997,0.180599,0,0.0902997,0.180599,0
"MNAR",25787,100000,0.0865198,0.17304,0,0.0865198,0.17304,0
"MCAR",80208,100000,0.0906664,0.181333,0,0.0906664,0.181333,0
