"missingness_mechanisms","sample_size_before","sample_size_after","fully_adjusted_bias","fully_adjusted_bias_percentage","fully_adjusted_coverage","unadjusted_bias","unadjusted_bias_percentage","unadjusted_coverage","two_step_lasso_bias","two_step_lasso_bias_percentage","two_step_lasso_coverage"
"FULL",100000,100000,0.0987613,0.197523,0,1.16663,2.33326,0,0.0987613,0.197523,0
"MNAR",25955,500000,0.0953563,0.190713,0,1.16663,2.33326,0,0.0953563,0.190713,0
"MCAR",25534,500000,0.0966826,0.193365,0,1.16663,2.33326,0,0.0966826,0.193365,0
