"missingness_mechanisms","sample_size_before","sample_size_after","fully_adjusted_bias","fully_adjusted_bias_percentage","fully_adjusted_coverage","unadjusted_bias","unadjusted_bias_percentage","unadjusted_coverage","two_step_lasso_bias","two_step_lasso_bias_percentage","two_step_lasso_coverage"
"FULL",100000,100000,0.0799802,0.15996,0,1.16509,2.33018,0,0.0799802,0.15996,0
"MNAR",25365,100000,0.0822342,0.164468,0,1.16509,2.33018,0,0.0822342,0.164468,0
"MCAR",80112,100000,0.080848,0.161696,0,1.16509,2.33018,0,0.0808501,0.1617,0
