"missingness_mechanisms","sample_size_before","sample_size_after","two_step_lasso_X_bias","two_step_lasso_X_bias_percentage","two_step_lasso_X_coverage","two_step_lasso_union_bias","two_step_lasso_union_bias_percentage","two_step_lasso_union_coverage"
"FULL",100000,100000,0.0987613,0.197523,0,0.0987613,0.197523,0
"MNAR",25955,500000,0.0947496,0.189499,0,0.0947496,0.189499,0
"MCAR",80147,500000,0.0988942,0.197788,0,0.0988942,0.197788,0
