"","causal_true_value","causal_estimate","causal_bias","causal_bias_proportion","causal_coverage","open_paths","blocked_paths","proportion_paths","empirical_SE","model_SE"
"fully_adjusted",0.5,0.588501371144563,0.0885013711445627,0.177002742289125,0,32,28,0.875,NA,0.0173109882349291
"unadjusted",0.5,1.7111265525413,1.2111265525413,2.4222531050826,0,32,0,0,NA,0.0124133400406937
"two_step_lasso",0.5,0.588501371144563,0.0885013711445627,0.177002742289125,0,32,28,0.875,NA,0.0173109882349291
"two_step_lasso_X",0.5,0.588501371144563,0.0885013711445627,0.177002742289125,0,32,28,0.875,NA,0.0173109882349291
"two_step_lasso_union",0.5,0.588501371144563,0.0885013711445627,0.177002742289125,0,32,28,0.875,NA,0.0173109882349291
