"","causal_true_value","causal_estimate","causal_bias","causal_bias_proportion","causal_coverage","open_paths","blocked_paths","proportion_paths","empirical_SE","model_SE"
"fully_adjusted",0.5,0.598761334675886,0.0987613346758861,0.197522669351772,0,32,28,0.875,NA,0.00874889817615041
"unadjusted",0.5,1.66663100052098,1.16663100052098,2.33326200104197,0,32,0,0,NA,0.0063912204714042
"two_step_lasso",0.5,0.598761334675886,0.0987613346758861,0.197522669351772,0,32,28,0.875,NA,0.00874889817615041
"two_step_lasso_X",0.5,0.598761334675886,0.0987613346758861,0.197522669351772,0,32,28,0.875,NA,0.00874889817615041
"two_step_lasso_union",0.5,0.598761334675886,0.0987613346758861,0.197522669351772,0,32,28,0.875,NA,0.00874889817615041
