"","causal_true_value","causal_estimate","causal_bias","causal_bias_proportion","causal_coverage","open_paths","blocked_paths","proportion_paths","empirical_SE","model_SE"
"fully_adjusted",0.5,0.597587917987162,0.0975879179871618,0.195175835974324,0,32,28,0.875,NA,0.00979661028625612
"unadjusted",0.5,1.67379626641473,1.17379626641473,2.34759253282946,0,32,0,0,NA,0.00714019784878959
"two_step_lasso",0.5,0.597587917987162,0.0975879179871618,0.195175835974324,0,32,28,0.875,NA,0.00979661028625612
"two_step_lasso_X",0.5,0.597587917987162,0.0975879179871618,0.195175835974324,0,32,28,0.875,NA,0.00979661028625612
"two_step_lasso_union",0.5,0.597587917987162,0.0975879179871618,0.195175835974324,0,32,28,0.875,NA,0.00979661028625612
