"","causal_true_value","causal_estimate","causal_bias","causal_bias_proportion","causal_coverage","open_paths","blocked_paths","proportion_paths","empirical_SE","model_SE"
"fully_adjusted",0.5,0.580848016998188,0.0808480169981877,0.161696033996375,0,32,28,0.875,NA,0.00876954361692535
"unadjusted",0.5,1.66508837629157,1.16508837629157,2.33017675258314,0,32,0,0,NA,0.00641974958870457
"two_step_lasso",0.5,0.580850069002434,0.0808500690024336,0.161700138004867,0,32,28,0.875,NA,0.00876949593123561
"two_step_lasso_X",0.5,0.580850069002434,0.0808500690024336,0.161700138004867,0,32,28,0.875,NA,0.00876949593123561
"two_step_lasso_union",0.5,0.580850069002434,0.0808500690024336,0.161700138004867,0,32,28,0.875,NA,0.00876949593123561
