"","causal_true_value","causal_estimate","causal_bias","causal_bias_proportion","causal_coverage","open_paths","blocked_paths","proportion_paths","empirical_SE","model_SE"
"fully_adjusted",0.5,0.579980201633065,0.0799802016330654,0.159960403266131,0,32,28,0.875,NA,0.00877150810218971
"unadjusted",0.5,1.66508837629158,1.16508837629158,2.33017675258316,0,32,0,0,NA,0.00641974958870458
"two_step_lasso",0.5,0.579980201633065,0.0799802016330654,0.159960403266131,0,32,28,0.875,NA,0.00877150810218971
"two_step_lasso_X",0.5,0.579980201633065,0.0799802016330654,0.159960403266131,0,32,28,0.875,NA,0.00877150810218971
"two_step_lasso_union",0.5,0.579980201633065,0.0799802016330654,0.159960403266131,0,32,28,0.875,NA,0.00877150810218971
