"","causal_true_value","causal_estimate","causal_bias","causal_bias_proportion","causal_coverage","open_paths","blocked_paths","proportion_paths","empirical_SE","model_SE"
"fully_adjusted",0.5,0.511540316204143,0.0115403162041425,0.023080632408285,0.911,32,28,0.875,0.0175693952735814,0.0177744259237496
"unadjusted",0.5,0.691371109292186,0.191371109292186,0.382742218584373,0,32,0,0,0.0160895585119068,0.0164135102492852
"two_step_lasso",0.5,0.511342454518694,0.0113424545186935,0.0226849090373871,0.9145,32,26.351,0.82346875,0.0175523480396638,0.0177329521173414
"two_step_lasso_X",0.5,0.511536256969277,0.0115362569692771,0.0230725139385541,0.911,32,27.86,0.870625,0.0175672087209629,0.0177754787971348
"two_step_lasso_union",0.5,0.51154075484181,0.0115407548418101,0.0230815096836201,0.911,32,27.9815,0.874421875,0.0175692794224824,0.0177744115708284
