"","(Intercept)","X","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32"
"fully_adjusted",1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"unadjusted",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"two_step_lasso",1,1,0,0.8965,0.8955,0.8925,0.8905,0.9,0.8935,0.9045,0,1,1,1,1,1,1,1,0,0.8985,0.884,0.8925,0.89,0.8795,0.881,0.896,0,0.847,1,1,1,0.9995,1,0.9995
"two_step_lasso_X",1,1,0,0.99,0.984,0.989,0.991,0.99,0.9835,0.989,0,0.988,0.9885,0.9855,0.9865,0.989,0.9865,0.987,0,1,1,1,1,1,1,1,0,0.9775,1,1,1,1,1,1
"two_step_lasso_union",1,1,0,0.9985,0.998,0.999,0.999,0.9995,0.999,0.9995,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0.995,1,1,1,1,1,1
