"","(Intercept)","X","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32"
"fully_adjusted",-0.00152615837840516,0.501960317269149,NA,0.0241775957058055,0.0185661002190306,0.0272263315831559,0.0203709995025611,0.011325534921,0.015905538010825,0.0190162557797879,NA,0.0746762850820053,0.0698029704153115,0.0705495555326389,0.0747929583808604,0.0767665524363298,0.0751987954877472,0.0838728828208876,NA,0.0275504277502198,0.0202791886350297,0.0185215955593512,0.0248399544702421,0.0255789146867053,0.0210867972465154,0.0229786554236685,NA,0.0581599941737468,0.0758923314371315,0.076966672764984,0.0728481198650349,0.0743718251172723,0.0782853777361201,0.0722817056140587
"unadjusted",-0.00161372941441128,0.68692253400808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"two_step_lasso",-0.00152173819782236,0.501845397269111,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.074605481612284,0.0697425732772795,0.0704909168796706,0.0747407161524407,0.0767067485158125,0.075137770528105,0.0838007588821652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.075824719965431,0.0769191222765844,0.0728004858737865,0.0743269785240194,0.078237655916472,0.0722184534973523
"two_step_lasso_X",-0.0015298765330593,0.501960021058069,NA,NA,0.0186602466613761,0.0273662855446526,0.0205896312115626,0.0114982977013491,0.0159919308304954,0.0190977448425487,NA,NA,0.0698998784542344,0.0706720184633443,0.0749733172433633,0.0768613032268691,0.0752853149041797,0.0840090019073985,NA,0.0277003023108387,0.0204220325007256,0.0186495228012836,0.0249709148065645,0.0256965489932348,0.021268632325778,0.0231217615900119,NA,0.0583263897188464,0.0760988267949038,0.0771085140353168,0.0729812574506463,0.074527745421451,0.0784261012844784,0.0724371356131884
"two_step_lasso_union",-0.00152621354959668,0.501960315531717,NA,NA,0.0185671384915233,0.0272270400192082,0.0203715528096729,0.0113256407935976,0.0159061133688355,0.019016977826487,NA,0.0746766258563049,0.0698039080242057,0.0705501956795561,0.0747934021676645,0.076766756849245,0.0751993331410301,0.0838735761499466,NA,0.0275513620015784,0.0202802492539237,0.0185226770606099,0.0248402192927472,0.0255792728988926,0.0210877516869782,0.0229792330039847,NA,0.058161141922984,0.075892856969266,0.0769674277318449,0.0728488074688202,0.0743724097728657,0.0782854080265968,0.0722817245498279
