"","causal_true_value","causal_estimate","causal_bias","causal_bias_proportion","causal_coverage","open_paths","blocked_paths","proportion_paths","empirical_SE","model_SE"
"fully_adjusted",0.5,0.503437569455339,0.00343756945533857,0.00687513891067713,0.5945,32,28,0.875,0.0183985021370415,0.00796001096909894
"unadjusted",0.5,0.691205200534746,0.191205200534746,0.382410401069492,0,32,0,0,0.0164339811635736,0.00733799193298159
"two_step_lasso",0.5,0.503354390588168,0.00335439058816819,0.00670878117633638,0.5945,32,27.1035,0.846984375,0.0183916478022554,0.0079502508447065
"two_step_lasso_X",0.5,0.503429055202481,0.00342905520248082,0.00685811040496164,0.5945,32,27.8,0.86875,0.0183994733196639,0.00796067428338498
"two_step_lasso_union",0.5,0.503437584320766,0.00343758432076554,0.00687516864153109,0.5945,32,27.9915,0.874734375,0.0183985017966365,0.00796001029324311
