"","causal_true_value","causal_estimate","causal_bias","causal_bias_proportion","causal_coverage","open_paths","blocked_paths","proportion_paths","empirical_SE","model_SE"
"fully_adjusted",0.5,0.506584595046527,0.00658459504652703,0.0131691900930541,0.5875,32,28,0.875,0.0181440439083145,0.00795123568211943
"unadjusted",0.5,0.691009068372697,0.191009068372697,0.382018136745393,0,32,0,0,0.0162309721755602,0.00734000620954361
"two_step_lasso",0.5,0.506503341725273,0.00650334172527271,0.0130066834505454,0.5865,32,27.1885,0.849640625,0.0181452581505375,0.00794206196180204
"two_step_lasso_X",0.5,0.506578473936938,0.00657847393693826,0.0131569478738765,0.5875,32,27.844,0.870125,0.0181444927384126,0.00795178081495319
"two_step_lasso_union",0.5,0.506584599630389,0.00658459963038865,0.0131691992607773,0.5875,32,27.9945,0.874828125,0.0181440431107822,0.00795123520464715
