"","causal_true_value","causal_estimate","causal_bias","causal_bias_proportion","causal_coverage","open_paths","blocked_paths","proportion_paths","empirical_SE","model_SE"
"fully_adjusted",0.5,0.50784444170209,0.00784444170209014,0.0156888834041803,0.566,32,28,0.875,0.0181491611465634,0.00795292928714488
"unadjusted",0.5,0.691759789781406,0.191759789781406,0.383519579562813,0,32,0,0,0.0165120361841936,0.00734209061655147
"two_step_lasso",0.5,0.50776153741098,0.00776153741097992,0.0155230748219598,0.566,32,27.1615,0.848796875,0.0181456896194838,0.00794320438146235
"two_step_lasso_X",0.5,0.507837386003555,0.00783738600355507,0.0156747720071101,0.566,32,27.8425,0.870078125,0.0181487889691168,0.00795355703571141
"two_step_lasso_union",0.5,0.507844442957908,0.00784444295790816,0.0156888859158163,0.566,32,27.9965,0.874890625,0.0181491612330804,0.00795292903861322
