"","causal_true_value","causal_estimate","causal_bias","causal_bias_proportion","causal_coverage","open_paths","blocked_paths","proportion_paths","empirical_SE","model_SE"
"fully_adjusted",0.5,0.507182517707071,0.00718251770707128,0.0143650354141426,0.946,32,28,0.875,0.0349700864348087,0.0352971427510966
"unadjusted",0.5,0.712114653344517,0.212114653344517,0.424229306689034,0,32,0,0,0.0322768262378921,0.0320837914536286
"two_step_lasso",0.5,0.504584379859741,0.00458437985974094,0.00916875971948189,0.9445,32,22.9815,0.718171875,0.0347778498440248,0.0349700003381221
"two_step_lasso_X",0.5,0.506654802225572,0.00665480222557232,0.0133096044511446,0.9465,32,25.858,0.8080625,0.0349803521893933,0.0353284572678811
"two_step_lasso_union",0.5,0.507202487208336,0.00720248720833633,0.0144049744166727,0.946,32,27.642,0.8638125,0.0349657211570513,0.0352948466711131
