"","(Intercept)","X","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32"
"fully_adjusted",1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"unadjusted",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"two_step_lasso",1,1,0,0.665,0.673,0.6765,0.672,0.6775,0.662,0.6805,0,0.9595,0.955,0.954,0.9515,0.964,0.9465,0.962,0,0.6975,0.6735,0.6665,0.678,0.677,0.695,0.6705,0,0.9555,0.9565,0.96,0.9555,0.9615,0.9655,0.956
"two_step_lasso_X",1,1,0,0.8495,0.8535,0.8485,0.8475,0.84,0.8375,0.8545,0,0.8455,0.8455,0.8505,0.842,0.848,0.85,0.853,0,1,0.9995,1,0.9995,1,0.9995,0.9995,0,0.9985,1,0.9985,0.9995,0.999,0.999,1
"two_step_lasso_union",1,1,0,0.947,0.951,0.946,0.951,0.9525,0.9435,0.954,0,0.992,0.9945,0.995,0.993,0.9955,0.9915,0.994,0,1,0.9995,1,1,1,0.9995,1,0,1,1,1,1,1,1,1
