"","(Intercept)","X","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32"
"fully_adjusted",0.000200606993846039,0.507618485959422,NA,0.0222539434278671,0.0210749514965325,0.0211753580202565,0.0227529151544016,0.0206413759178882,0.0212678772019933,0.0221199304110618,NA,0.0740310310418152,0.0733425535494014,0.072185725152919,0.0724605254637978,0.0736909274356414,0.0737390774878072,0.0723427448822131,NA,0.0205740765232415,0.0209952095916543,0.0210943862233089,0.0218097108362502,0.022297090859893,0.0211695715881102,0.0204988725929766,NA,0.0716934838124999,0.0714958809449781,0.0722978288549439,0.0723343235014546,0.0724694165511621,0.0722593757867241,0.0735403718425325
"unadjusted",0.349000519052852,0.638540462511967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"two_step_lasso",0.00667854506386217,0.506007478207894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"two_step_lasso_X",0.0424741250793751,0.50736938059109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0250088833611124,NA,NA,0.0236475770274316,NA,NA,NA,0.075600486108984,NA,NA,NA,0.0767150753003415
"two_step_lasso_union",0.00331361760342364,0.507629415878378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0211386036899204,0.0218494894708445,0.0223561930926879,0.0212048070839514,0.0205433490853727,NA,0.0717446696626224,0.0715432463385243,0.0723500135931743,0.0723833113333383,0.0725335312491354,0.0723099130634113,0.0735950606982522
