"","causal_true_value","causal_estimate","causal_bias","causal_bias_proportion","causal_coverage","open_paths","blocked_paths","proportion_paths","empirical_SE","model_SE"
"fully_adjusted",0.5,0.524721706381285,0.024721706381285,0.04944341276257,0.85,32,28,0.875,0.0453572873418622,0.0357710347831481
"unadjusted",0.5,0.655006358314097,0.155006358314097,0.310012716628195,0,32,0,0,0.0371929555127172,0.0336034552370571
"two_step_lasso",0.5,0.522609332351586,0.0226093323515857,0.0452186647031713,0.85,32,21.8,0.68125,0.0451864220297114,0.0354160383941187
"two_step_lasso_X",0.5,0.52452514446208,0.0245251444620803,0.0490502889241606,0.85,32,24.5,0.765625,0.0452478812035827,0.0358032990372783
"two_step_lasso_union",0.5,0.524729961354632,0.0247299613546317,0.0494599227092635,0.85,32,26.95,0.8421875,0.0453472792071956,0.0357639128423963
