"","(Intercept)","X","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32"
"fully_adjusted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"unadjusted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"two_step_lasso",0,1,0,0.875,0.883,0.8855,0.875,0.8845,0.877,0.871,0,1,0.9995,1,1,1,1,1,0,0.869,0.883,0.8685,0.8755,0.8795,0.8805,0.88,0,1,1,1,1,1,1,1
"two_step_lasso_X",0,1,0,0.9755,0.9865,0.9825,0.9835,0.979,0.9835,0.9855,0,0.9815,0.9875,0.99,0.9835,0.9805,0.984,0.983,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"two_step_lasso_union",0,1,0,0.999,0.9985,0.998,0.999,0.997,0.9985,0.999,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
