"","(Intercept)","X","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32"
"fully_adjusted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"unadjusted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"two_step_lasso",0,1,0,0.884,0.862,0.8625,0.889,0.8785,0.8825,0.881,0,1,1,1,1,1,1,1,0,0.871,0.8755,0.8645,0.8685,0.877,0.8825,0.864,0,0.9995,1,1,1,1,1,1
"two_step_lasso_X",0,1,0,0.9845,0.979,0.9805,0.9825,0.98,0.983,0.981,0,0.9785,0.9805,0.9815,0.986,0.9835,0.989,0.983,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"two_step_lasso_union",0,1,0,0.997,0.9975,0.9975,0.998,0.9975,0.9975,0.9995,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
