"","causal_true_value","causal_estimate","causal_bias","causal_bias_proportion","causal_coverage","open_paths","blocked_paths","proportion_paths","empirical_SE","model_SE"
"fully_adjusted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"unadjusted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"two_step_lasso",0.5,0.503387472634629,0.00338747263462934,0.00677494526925868,NA,32,25.9815,0.811921875,0.0183078795554013,0.0181101341465927
"two_step_lasso_X",0.5,0.503768260188676,0.00376826018867646,0.00753652037735292,NA,32,27.675,0.86484375,0.018327528288093,0.0181505384157167
"two_step_lasso_union",0.5,0.503797293769834,0.00379729376983347,0.00759458753966693,NA,32,27.982,0.8744375,0.0183262180934668,0.018147192378385
