"","(Intercept)","X","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32"
"fully_adjusted",0.00872353388712129,0.508159540358723,NA,0.0239064938621961,0.017638141724057,0.0230465276715978,0.0162202904343688,0.0205015636684972,0.0187048971175091,0.0219561214421227,NA,0.0771418579226771,0.0728011682083151,0.0762884944333103,0.0722279961889481,0.0762655442410834,0.074607891380871,0.0763880860037994,NA,0.0204225898503455,0.021763421629111,0.0242328478845096,0.0237680035633388,0.0263493300526331,0.0277526400996936,0.0235197614815462,NA,0.0728730799828977,0.0664937887246574,0.0759569378851715,0.063577515564766,0.0737524379756286,0.0701466460150303,0.0735991977414092
"unadjusted",0.00927363485564625,0.692926049714363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"two_step_lasso",0.00868421537916978,0.507724567237492,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0769037830302218,0.072517661229433,0.0759958081176147,0.0719429182441076,0.0760198124465461,0.0743308457737764,0.0761099508144946,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0724827411549637,0.0661854498337575,0.0756981233398464,0.0633231809080146,0.0734854251730955,0.0699122208511858,0.0733843091671739
"two_step_lasso_X",0.00889604238705169,0.508066314976701,NA,0.0247186423535546,NA,0.0240017911341725,0.0169604831535391,0.0214146462198251,0.0195990754419336,0.022905771647307,NA,NA,NA,0.0771629044147149,NA,NA,NA,NA,NA,0.0212212366381578,0.0226732032464258,0.0250678264364645,0.0248846627575185,0.0273780196257576,0.0286187794720679,0.0242689232033992,NA,0.0739833264154797,0.0675060372809087,0.0768045595061531,0.0644608581781381,0.0745090856432068,0.0711325706396523,0.0747123743614333
"two_step_lasso_union",0.00872353388712129,0.508159540358723,NA,0.0239064938621961,0.017638141724057,0.0230465276715978,0.0162202904343688,0.0205015636684972,0.0187048971175091,0.0219561214421227,NA,0.0771418579226771,0.0728011682083151,0.0762884944333103,0.0722279961889481,0.0762655442410834,0.074607891380871,0.0763880860037994,NA,0.0204225898503455,0.021763421629111,0.0242328478845096,0.0237680035633388,0.0263493300526331,0.0277526400996936,0.0235197614815462,NA,0.0728730799828977,0.0664937887246574,0.0759569378851715,0.063577515564766,0.0737524379756286,0.0701466460150303,0.0735991977414092
