"","causal_true_value","causal_estimate","causal_bias","causal_bias_proportion","causal_coverage","open_paths","blocked_paths","proportion_paths","empirical_SE","model_SE"
"fully_adjusted",0.5,0.506973207499509,0.00697320749950883,0.0139464149990177,0.9,32,28,0.875,0.0164239235614171,0.0177466975696428
"unadjusted",0.5,0.689075230512643,0.189075230512643,0.378150461025285,0,32,0,0,0.0147585937545105,0.0164054308621215
"two_step_lasso",0.5,0.506847313197384,0.00684731319738438,0.0136946263947688,0.9,32,26.85,0.8390625,0.0164015032708736,0.0177197850098366
"two_step_lasso_X",0.5,0.506970048112044,0.00697004811204401,0.013940096224088,0.9,32,27.85,0.8703125,0.0164254736656987,0.0177474801583377
"two_step_lasso_union",0.5,0.506973172922213,0.00697317292221255,0.0139463458444251,0.9,32,28,0.875,0.0164239008588268,0.0177466536424683
