"","causal_true_value","causal_estimate","causal_bias","causal_bias_proportion","causal_coverage","open_paths","blocked_paths","proportion_paths","empirical_SE","model_SE"
"fully_adjusted",0.5,0.508890918854404,0.00889091885440365,0.0177818377088073,0.85,32,28,0.875,0.0208550740506047,0.0178004026935012
"unadjusted",0.5,0.689910387770326,0.189910387770326,0.379820775540652,0,32,0,0,0.0161522686571104,0.0164557439918587
"two_step_lasso",0.5,0.50847093880726,0.00847093880725999,0.01694187761452,0.85,32,26.2,0.81875,0.0207474605408948,0.017743615295162
"two_step_lasso_X",0.5,0.508880352986233,0.00888035298623305,0.0177607059724661,0.85,32,27.85,0.8703125,0.0208582100594544,0.0178011567881629
"two_step_lasso_union",0.5,0.508889692547785,0.00888969254778462,0.0177793850955692,0.85,32,28,0.875,0.02085488999526,0.0178003006966365
