"","(Intercept)","X","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32","Z26_missing"
"fully_adjusted",-0.0082117924651236,0.506973207499509,NA,0.0223846012854229,0.0228949602171594,0.0247814171220186,0.0220743833132367,0.0249799146531884,0.0276992567113984,0.0208852167344231,NA,0.0789091296709819,0.0789488015537009,0.0754451421698925,0.0681594319098491,0.0779794305280756,0.076411762635331,0.0706114785457295,NA,0.0202875961506723,0.0204330078415424,0.0156064585438076,0.0197344782319518,0.0334196897451992,0.0243643263669234,0.0219814311575551,NA,0.0587633058499763,0.0791399887298226,0.0821635559049459,0.0714233218575519,0.0794232240068541,0.0749860964110595,0.0697773325614839,0.00688936614300238
"unadjusted",-0.00419082395321259,0.689075230512643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"two_step_lasso",-0.00861374302527475,0.506847313197384,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0788350959743395,0.0788369680639617,0.0753660303641626,0.068064962748291,0.077893803848552,0.0763202179929216,0.0705130967159068,NA,NA,0.0203422836541432,NA,NA,0.0333272809919405,0.0243021174399763,NA,NA,NA,0.0790730293639905,0.0820725719810024,0.0713479243411558,0.079326496414022,0.0749191740676052,0.0697058021031728,NA
"two_step_lasso_X",-0.00639775883025544,0.506970048112044,NA,0.0226306384538004,0.0230786556406924,0.02493764885107,NA,NA,0.0279366686181008,0.020961982655245,NA,NA,0.0791395236328056,0.0756571695504155,0.068375539243744,0.0781086173713239,0.0765696812230457,0.0708321236921152,NA,0.0204777745289704,0.0205766886367262,0.0157556351212362,0.0198770614646598,0.033612837248212,0.0245466299990206,0.0221873630220286,NA,0.0590584058724951,0.0792705005570327,0.0824058658523882,0.0716057194294359,0.0796564108568112,0.0751125851209414,0.0699999565710469,NA
"two_step_lasso_union",-0.00809443930534739,0.506973172922213,NA,0.0223858218497011,0.0228951825647634,0.0247802252797845,0.0220745170947665,0.0249803184413984,0.0277003778049383,0.020885601834436,NA,0.0789102647182911,0.0789486028078075,0.0754449666140974,0.0681592364807108,0.0779791382832817,0.0764119377363822,0.0706113703650715,NA,0.0202880672545145,0.0204349078744688,0.0156061712795634,0.0197340636183732,0.0334181205257651,0.0243645052800086,0.0219808874355127,NA,0.0587647444375512,0.0791394573755776,0.0821631276552444,0.0714228762868434,0.0794238723731387,0.0749848445185844,0.0697771480740489,NA
